schema_version	halfword_hex	form
2	0x24d2	c.lhu
2	0x24d4	c.lbu
2	0x24d6	c.lhu
2	0x24d8	c.lbu
2	0x24da	c.lhu
2	0x24dc	c.lbu
2	0x24de	c.lhu
2	0x24e0	c.lbu
2	0x24e2	c.lhu
2	0x24e4	c.lbu
2	0x24e6	c.lhu
2	0x24e8	c.lbu
2	0x24ea	c.lhu
2	0x24ec	c.lbu
2	0x24ee	c.lhu
2	0x24f0	c.lbu
2	0x24f2	c.lhu
2	0x24f4	c.lbu
2	0x24f6	c.lhu
2	0x24f8	c.lbu
2	0x24fa	c.lhu
2	0x24fc	c.lbu
2	0x24fe	c.lhu
2	0x2500	c.lbu
2	0x2502	c.lhu
2	0x2504	c.lbu
2	0x2506	c.lhu
2	0x2508	c.lbu
2	0x250a	c.lhu
2	0x250c	c.lbu
2	0x250e	c.lhu
2	0x2510	c.lbu
2	0x2512	c.lhu
2	0x2514	c.lbu
2	0x2516	c.lhu
2	0x2518	c.lbu
2	0x251a	c.lhu
2	0x251c	c.lbu
2	0x251e	c.lhu
2	0x2520	c.lbu
2	0x2522	c.lhu
2	0x2524	c.lbu
2	0x2526	c.lhu
2	0x2528	c.lbu
2	0x252a	c.lhu
2	0x252c	c.lbu
2	0x252e	c.lhu
2	0x2530	c.lbu
2	0x2532	c.lhu
2	0x2534	c.lbu
2	0x2536	c.lhu
2	0x2538	c.lbu
2	0x253a	c.lhu
2	0x253c	c.lbu
2	0x253e	c.lhu
2	0x2540	c.lbu
2	0x2542	c.lhu
2	0x2544	c.lbu
2	0x2546	c.lhu
2	0x2548	c.lbu
2	0x254a	c.lhu
2	0x254c	c.lbu
2	0x254e	c.lhu
2	0x2550	c.lbu
2	0x2552	c.lhu
2	0x2554	c.lbu
2	0x2556	c.lhu
2	0x2558	c.lbu
2	0x255a	c.lhu
2	0x255c	c.lbu
2	0x255e	c.lhu
2	0x2560	c.lbu
2	0x2562	c.lhu
2	0x2564	c.lbu
2	0x2566	c.lhu
2	0x2568	c.lbu
2	0x256a	c.lhu
2	0x256c	c.lbu
2	0x256e	c.lhu
2	0x2570	c.lbu
2	0x2572	c.lhu
2	0x2574	c.lbu
2	0x2576	c.lhu
2	0x2578	c.lbu
2	0x257a	c.lhu
2	0x257c	c.lbu
