schema_version	evidence_id	path	role	size_bytes	sha256	producer_command_id	required_by
2	ev-acd897310d9840cb5dc31ddc8a748c3798b8525e00d19ed644ea716fffd01a46	controls/positive/disassembly/845388710f117bcbf29deeda982d7d480fa4482405d10a558489b9ab40b3546d-symbols.txt	positive-semantic-evidence	1601	8b9b4d2e8a96bccabf43c38b028bcbb6837f8563d545eddd6bb7fa58a31b1920	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-3e9313abb197bfeb1656c9451447498ff4467893e7b3b441832e1efa9e46dc78	controls/positive/disassembly/b0698d11172d8f34a48b26652eb34b238f93959175a73305bddefa342eb2914c-IoCHub_CliConnAutoReg.txt	positive-semantic-evidence	12787	d4647d63b7ca95048e460abf7afde508d609eb034893cb5b6cf620a80eb8ddd8	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-31fe4b83bd557f92bad6c4be4e46abc81d99df2ec53ef64cdd1a8dfedf06cab4	controls/positive/disassembly/b0698d11172d8f34a48b26652eb34b238f93959175a73305bddefa342eb2914c-WCHIOCHUB_GetLocalID.txt	positive-semantic-evidence	3924	efce223840e6cfef6cff2553011c0934bfc9f8ba392d01ac892edecd110b630b	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-6037347778423f13d1b68dc347b820da1896698f7af970c791c389b590ad37fb	controls/positive/disassembly/b0698d11172d8f34a48b26652eb34b238f93959175a73305bddefa342eb2914c-WCHIOCHUB_Init.txt	positive-semantic-evidence	18249	d277c21c76e19b7daf5fad89112f8dd40db9c254ae7ce576cb263a29d86e542d	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-25a565582be78769deec2fe35be7dad3b3a166675c619414783b067d16d02073	controls/positive/disassembly/b0698d11172d8f34a48b26652eb34b238f93959175a73305bddefa342eb2914c-WCHIOCHUB_Start.txt	positive-semantic-evidence	8632	97e95644d2edc9ff013e4c9fbb2925e6db81b6c1aec153d4974ee21d5b177774	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-40ee95e9bca1be2b854e72658c3e6eeaf0106ebee5ac3830a4bdab372a8458fc	controls/positive/disassembly/b0698d11172d8f34a48b26652eb34b238f93959175a73305bddefa342eb2914c-symbols.txt	positive-semantic-evidence	8836	76765f564528df9f7cc2989d5b95645ea5bca15aef28c5dec75d0761a0f2831f	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-ee90c4c655a4f14af4f0e6e63b0e8adc5afb677940bf166e1432691ec18e487a	controls/positive/objects/0b196fff0b9f666fc30cd4dcebe90ef299f1fed37fff6b66f460951515e494ca.o	positive-semantic-evidence	8764	0b196fff0b9f666fc30cd4dcebe90ef299f1fed37fff6b66f460951515e494ca	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-ad2661cad1394a9720655f9003b786d52bfdb4de12c76eb641ed63618f42be0d	controls/positive/objects/0c796a85a0123d5338803c1a144d3dbac76e906a6f652f73155cd6a8a6f28ac4.o	positive-semantic-evidence	8636	0c796a85a0123d5338803c1a144d3dbac76e906a6f652f73155cd6a8a6f28ac4	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-0b8ce347a9855fccea3ade49d8a35c2a946602e27e2bf399b6fd89fc0806f191	controls/positive/objects/845388710f117bcbf29deeda982d7d480fa4482405d10a558489b9ab40b3546d.o	positive-semantic-evidence	8316	845388710f117bcbf29deeda982d7d480fa4482405d10a558489b9ab40b3546d	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-65ae4c4ce588c36eff0e970103b9d53a343d9c49bae78dd10480b28ecaa2bf8a	controls/positive/objects/b0698d11172d8f34a48b26652eb34b238f93959175a73305bddefa342eb2914c.o	positive-semantic-evidence	84000	b0698d11172d8f34a48b26652eb34b238f93959175a73305bddefa342eb2914c	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
